cartodb_id,год,,ВВП на душу населения,Глубина воронки отсталости,Доля инновационно активных организаций,Доля инновационных продуктов,Доходы регионального бюджета,Инвестиции в основной капитал на душу населения,Расходы регионального бюджета,Сальдированный финансовый результат деятельности предприятий,Сальдо регионального бюджета,Скорость затягивания в воронку отсталости,Соответствующий год эталона,Уровень занятости населени,Уровень цифровизации
17,2022,Алтайский край,"476618,5",6,14,"2,2","185,847.80",68068,"195552,1",88598,"-9,704.30",-2,2016,"59,3","44,09"
81,2022,Амурская область,"816382,5",-2,"6,8","0,3","121944,9",610703,"129897,9",-638536,"-7,953.00",-3,2024,"60,9","51,19"
2,2022,Архангельская область,1283937,-2,"4,6","1,3","156710,4",190557,161198,86091,"-4,487.60",1,2024,"55,5","45,15"
33,2022,Астраханская область,"830705,9",-2,"6,1","0,1","91927,5",90252,"86394,7",218162,"5,532.80",-4,2024,"58,7","52,83"
26,2022,Белгородская область,1204451,-2,"15,1","10,3","166867,8",126882,"196095,1",271373,"-29,227.30",1,2024,"61,3","67,13"
27,2022,Брянская область,"455608,8",7,"12,1","5,1","109137,1",75434,"104804,4",37759,"4,332.70",0,2015,"56,5","29,51"
22,2022,Владимирская область,"746057,7",0,"9,9","3,6","116464,4",134472,"119944,6",114179,"-3,480.20",-4,2022,"61,5","56,06"
29,2022,Волгоградская область,"463156,4",6,"8,2","3,3","181019,9",87238,"179249,9",85268,"1,770.00",-1,2016,"57,6","52,12"
55,2022,Вологодская область,1439224,-2,"9,3","0,7","150161,2",147980,"140966,7",983911,"9,194.50",1,2024,"56,6","58,7"
16,2022,Воронежская область,"650135,8",3,"10,4","3,5","208011,5",150021,"202624,3",130843,"5,387.20",-1,2019,"58,5","64,07"
42,2022,г. Москва,2341304,-2,"11,3","4,4","3671520,5",453150,"3616552,7",5545188,"54,967.80",1,2024,"65,8",
45,2022,г. Санкт-Петербург,3111849,-2,15,8,1165311,177995,"1046208,3",1925197,"119,102.70",1,2024,"66,9",
100,2022,г. Севастополь,"357925,3",10,"7,8","3,8",72941,130643,"71238,4",1519,"1,702.60",,2012,"59,9",
400,2022,Донецкая Народная Республика,,,,,,,,,,,,,
80,2022,Еврейская автономная область,640959,3,4,"0,2","23586,9",135446,"24633,7",5746,"-1,046.80",-1,2019,58,"27,12"
9,2022,Забайкальский край,"540174,9",5,"3,9","0,1","124141,2",182749,"127094,2",58972,"-2,953.00",0,2017,"56,1","30,42"
300,2022,Запорожская область,,,,,,,,,,,,,
57,2022,Ивановская область,"345007,1",10,"13,8","3,7","76966,1",64661,"72367,5",16822,"4,598.60",0,2012,"60,1","44,57"
82,2022,Иркутская область,1054904,-2,"6,9","0,7",319483,354170,"308059,9",323131,"11,423.10",1,2024,"58,3","51,06"
36,2022,Кабардино-Балкарская Республика,"253336,3",12,"3,8","0,4","70859,1",63980,"69131,3",-8007,"1,727.80",-1,2010,"58,5","41,62"
47,2022,Калининградская область,"804673,1",-1,"5,7","0,7","137720,4",136223,"137831,6",404884,"-111,2",-3,2023,"62,3","63,62"
64,2022,Калужская область,"775647,9",-1,12,"2,6","106913,7",126684,"111755,3",31169,"-4,841.60",-3,2023,"61,4","59,87"
8,2022,Камчатский край,1231523,-2,"9,4","0,9","120750,7",312864,"126703,5",22753,"-5,952.80",1,2024,"67,3","46,86"
13,2022,Карачаево-Черкесская Республика,"270540,7",12,"4,3","0,4","44779,7",72554,"45444,1",2187,"-664,4",-1,2010,52,"28,81"
78,2022,Кемеровская область,1205764,-2,"7,1","0,7","359279,6",141707,"313404,1",707206,"45,875.50",-3,2024,"55,5","41,22"
